,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
882,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
883,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
884,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
885,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
886,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
887,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
888,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
889,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
890,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
891,Empanadas La Nueva Estancia,$ • Chilena,4.5,(150),"Playa Brava 1896, Iquique, Región de Tarapacá • Más información",https://www.ubereats.com/cl/iquique/food-delivery/empanadas-la-nueva-estancia/ds8S8THFQcGzMaPhk7AEqg
